row_number,variable_name,issue_type,current_value,details
121,Age,Missing Value,NaN,"Missing value in column ""Age"""
122,Age,Missing Value,NaN,"Missing value in column ""Age"""
123,Age,Missing Value,NaN,"Missing value in column ""Age"""
124,Age,Missing Value,NaN,"Missing value in column ""Age"""
125,Age,Missing Value,NaN,"Missing value in column ""Age"""
126,Age,Missing Value,NaN,"Missing value in column ""Age"""
127,Age,Missing Value,NaN,"Missing value in column ""Age"""
128,Age,Missing Value,NaN,"Missing value in column ""Age"""
129,Age,Missing Value,NaN,"Missing value in column ""Age"""
130,Age,Missing Value,NaN,"Missing value in column ""Age"""
131,Age,Missing Value,NaN,"Missing value in column ""Age"""
132,Age,Missing Value,NaN,"Missing value in column ""Age"""
133,Age,Missing Value,NaN,"Missing value in column ""Age"""
134,Age,Missing Value,NaN,"Missing value in column ""Age"""
135,Age,Missing Value,NaN,"Missing value in column ""Age"""
136,Age,Missing Value,NaN,"Missing value in column ""Age"""
137,Age,Missing Value,NaN,"Missing value in column ""Age"""
138,Age,Missing Value,NaN,"Missing value in column ""Age"""
139,Age,Missing Value,NaN,"Missing value in column ""Age"""
140,Age,Missing Value,NaN,"Missing value in column ""Age"""
141,Age,Missing Value,NaN,"Missing value in column ""Age"""
142,Age,Missing Value,NaN,"Missing value in column ""Age"""
143,Age,Missing Value,NaN,"Missing value in column ""Age"""
144,Age,Missing Value,NaN,"Missing value in column ""Age"""
145,Age,Missing Value,NaN,"Missing value in column ""Age"""
146,Age,Missing Value,NaN,"Missing value in column ""Age"""
147,Age,Missing Value,NaN,"Missing value in column ""Age"""
148,Age,Missing Value,NaN,"Missing value in column ""Age"""
149,Age,Missing Value,NaN,"Missing value in column ""Age"""
150,Age,Missing Value,NaN,"Missing value in column ""Age"""
151,Age,Missing Value,NaN,"Missing value in column ""Age"""
152,Age,Missing Value,NaN,"Missing value in column ""Age"""
153,Age,Missing Value,NaN,"Missing value in column ""Age"""
154,Age,Missing Value,NaN,"Missing value in column ""Age"""
155,Age,Missing Value,NaN,"Missing value in column ""Age"""
156,Age,Missing Value,NaN,"Missing value in column ""Age"""
157,Age,Missing Value,NaN,"Missing value in column ""Age"""
158,Age,Missing Value,NaN,"Missing value in column ""Age"""
159,Age,Missing Value,NaN,"Missing value in column ""Age"""
160,Age,Missing Value,NaN,"Missing value in column ""Age"""
121,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
122,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
123,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
124,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
125,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
126,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
127,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
128,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
129,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
130,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
131,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
132,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
133,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
134,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
135,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
136,MotherEducation,Missing Value,NaN,"Missing value in column ""MotherEducation"""
