row_number,variable_name,issue_type,current_value,details,missing_category
17,FatherOccupation,Missing Value,NaN,"Missing value in column ""FatherOccupation""",core
1,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
2,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
3,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
4,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
5,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
7,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
8,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
9,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
10,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
11,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
14,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
15,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
16,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
17,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
18,IfYesSourceOfInformationAboutMensturation,Missing Value,NaN,"Missing value in column ""IfYesSourceOfInformationAboutMensturation""",conditional
